dataset,field_id,type,description,coverage,alphaCount,userCount,score
analyst4,anl4_detailrecv4v104_est,VECTOR,Estimation value,0.7885,1001,662,180.43140776737738
analyst4,anl4_netprofit_median,MATRIX,Net profit - Median of estimations,0.7667,1129,797,180.38027210431292
model53,mdl53_jm5_1year,MATRIX,1-year annualized default probability (percentage) from Kamakura hybrid Jarrow–Merton v5 model,0.965,435,100,180.35202501769663
analyst4,anl4_bvps_number,MATRIX,Book value per share - number of estimations,0.6499,2303,1952,180.2996298725412
model53,mdl53_ms5_3month,MATRIX,"Annualized default probability at the 3-month horizon from Kamakura’s Merton structural model v5 (MS5), reported in percent",0.9709,458,79,180.29063527397486
analyst4,est_ebit,MATRIX,Earnings before interest and taxes - mean of estimations,0.7309,2158,432,180.2176929451605
analyst4,est_cashflow_op,MATRIX,Cash Flow From Operations - mean of estimations,0.6518,2645,1376,180.1263559403923
news12,news_mins_3_chg,MATRIX,Minimum number of minutes taken for price to move (up or down) 3 percentage points after the event,0.9174,440,240,180.05443342192174
analyst4,anl4_basicconqfv110_mean,VECTOR,Mean of estimations,0.7262,1309,1218,179.92675480935833
model77,mdl177_fangma_mam_usa_fangma_mam4,MATRIX,"Momentum analyst model 5 for FANGMA (Facebook, Apple, Netflix, Google, Mircosoft, Amazon)",1.0,258,129,179.90595286927328
analyst4,est_tot_assets,MATRIX,Total Assets - mean of estimations,0.7522,1342,685,179.9010001038618
analyst4,anl4_fsdtlestmtbscqv104_item,VECTOR,Financial item,0.7904,1107,468,179.8961325153037
model77,mdl177_valuemomemtummodel_reportedearningsmomentummodule,MATRIX,"Module tracking the momentum (trend, change, acceleration) in reported earnings, focusing on recent earnings announcements and their pattern",1.0,296,94,179.7067058460297
model77,consensus_analyst_rating,MATRIX,Street Consensus Rating,0.9887,281,131,179.703080322313
model77,mdl177_2_vma2_vma2_va_fs,MATRIX,"Financial Statement Valuation subscore within the Value Analyst II component, based on ratios from financial statements (e.g., book, earnings, cash flow)",1.0,263,119,179.69694974537336
analyst4,anl4_basicconqfv110_down,VECTOR,Number of lower estimations,0.7262,1296,1176,179.6517123794658
news12,nws12_afterhsz_57s,VECTOR,Number of minutes that elapsed before price went down 7.5 percentage points,0.707,2104,650,179.61325567220766
fundamental2,fn_accum_oth_income_loss_net_of_tax_a,MATRIX,"Accumulated change in equity from transactions and other events and circumstances from non-owner sources, net of tax effect, at period end. Excludes Net Income (Loss), and accumulated changes in equity from transactions resulting from investments by owners and distributions to owners. Includes foreign currency translation items, certain pension adjustments, unrealized gains and losses on certain investments in debt and equity securities, other than temporary impairment (OTTI) losses related to factors other than credit losses on available-for-sale and held-to-maturity debt securities that an entity does not intend to sell and it is not more likely than not that the entity will be required to sell before recovery of the amortized cost basis, as well as changes in the fair value of derivatives related to the effective portion of a designated cash flow hedge.",0.6936,1932,1004,179.5919988945492
model53,mdl53_ms5_3year,MATRIX,"Annualized default probability at the 3-year horizon from Kamakura’s Merton structural model v5 (MS5), reported in percent",0.9709,454,68,179.46350671249579
news18,nws18_acb,VECTOR,News sentiment specializing in corporate action announcements,0.903,538,190,179.45852284932312
model77,mdl177_2_deepvaluefactor_bp,MATRIX,Book value per share divided by month-end trading price (book-to-market ratio),1.0,239,137,179.44265765920593
analyst4,anl4_cuo1detailqfv110_item,VECTOR,Financial item,0.6295,2855,1599,179.4105677757341
