dataset,field_id,type,description,coverage,alphaCount,userCount
pv13,pv13_revere_index_cap,MATRIX,Company market capitalization,0.8495,2047,1201
pv13,pv13_revere_index_value,MATRIX,Value of specified index for the date,0.8603,598,456
pv13,pv13_revere_key_sector_total,MATRIX,Number of key focus sectors for the company,0.9334,4055,2209
pv13,pv13_revere_level,MATRIX,Level of the sector within the hierarchy,0.6205,723,493
pv13,pv13_revere_parent,MATRIX,Code of parent sector,0.6205,545,424
pv13,pv13_revere_term,MATRIX,"Indicates when a sector is the terminal sector (i.e., no sub-sectors)",0.4115,281,158
pv13,pv13_revere_term_sector_total,MATRIX,Number of terminal sectors for the company,0.9334,3337,1276
pv13,pv13_revere_zipcode,MATRIX,Zip code,0.9328,1265,542
pv13,pv13_reveremap,MATRIX,Mapping data,0.9924,3877,1678
pv13,pv13_rha2_min10_1000_513_sector,GROUP,grouping fields,0.3539,10,10
pv13,pv13_rha2_min10_3000_513_sector,GROUP,grouping fields,0.9933,69,63
pv13,pv13_rha2_min10_513_sector,GROUP,grouping fields,0.6959,21,18
pv13,pv13_rha2_min10_sector,GROUP,grouping fields,0.722,74,64
pv13,pv13_rha2_min20_3000_513_sector,GROUP,grouping fields,0.9933,53,47
pv13,pv13_rha2_min20_513_sector,GROUP,grouping fields,0.6959,35,31
pv13,pv13_rha2_min20_sector,GROUP,grouping fields,0.722,86,77
pv13,pv13_rha2_min2_1000_513_sector,GROUP,grouping fields,0.3539,24,22
pv13,pv13_rha2_min2_3000_513_sector,GROUP,grouping fields,0.9933,49,44
pv13,pv13_rha2_min2_513_sector,GROUP,grouping fields,0.6959,18,18
pv13,pv13_rha2_min2_sector,GROUP,grouping fields,0.722,1846,994
pv13,pv13_rha2_min30_3000_513_sector,GROUP,grouping fields,0.993,43,35
pv13,pv13_rha2_min40_3000_513_sector,GROUP,grouping fields,0.993,53,49
pv13,pv13_rha2_min5_1000_513_sector,GROUP,grouping fields,0.3539,16,15
pv13,pv13_rha2_min5_3000_513_sector,GROUP,grouping fields,0.9933,28,28
pv13,pv13_rha2_min5_513_sector,GROUP,grouping fields,0.6959,44,42
pv13,pv13_rha2_min5_sector,GROUP,grouping fields,0.722,2048,1056
pv13,pv13_ustomergraphrank_auth_rank,MATRIX,the HITS authority score of customers,0.7906,741,535
pv13,pv13_ustomergraphrank_hub_rank,MATRIX,the HITS hub score of customers,0.7906,1123,742
pv13,pv13_ustomergraphrank_page_rank,MATRIX,the PageRank of customers,0.7906,1082,745
pv13,rel_num_all,MATRIX,number of the companies whose product overlapped with the instrument,0.9939,5393,2134
pv13,rel_num_comp,MATRIX,number of the instrument's competitors,0.8902,2304,1334
pv13,rel_num_cust,MATRIX,number of the instrument's customers,0.5068,2706,1105
pv13,rel_num_part,MATRIX,number of the instrument's partners,0.7837,7402,2747
pv13,rel_ret_all,MATRIX,Averaged one-day return of the companies whose product overlapped with the instrument,0.9613,3001,1692
pv13,rel_ret_comp,MATRIX,Averaged one-day return of the competing companies,0.8228,4028,2322
pv13,rel_ret_cust,MATRIX,averaged one-day-return of the instrument's customers,0.4921,645,284
pv13,rel_ret_part,MATRIX,Averaged one-day return of the instrument's partners,0.7097,3926,1722
pv13,single_sector_pureplay_company_count,MATRIX,Number of companies exclusively operating in a single sector.,0.3508,33,26
